a- alatt
a egy
aback hatra
abacus szamologep
abandoned elhagyott
abandonment atengedes
abasement lealacsonyitas
abashed elkepedt
abashment elkepedes
abatement bunpartolas
abattoir vagohid
abbess apaca-fejedelemasszony
abbey apatsag
abbot apat
abbreviation rovidites
ABC abece
abc beturend
abdication feladas
abdomen has
abdominal hasi
abed agyban
aberrant aberralt
aberration aberracio
abetment bunpartolas
abetter bunreszes
abetting bunpartolo
abettor bunreszes
abhorrence undor
abhorrent elremito
abiding maradando
ability kepesseg
abiogenesis abiogenezis
abiogenetic abiogenetikus
abiogeny abiogenezis
abject alavalo
abjection alavalosag
abjectly aljasul
abjectness alavalosag
ablation elhordas
ablative ablativusz
ablaze izgatott
able alkalmas
able-bodied izmos
ablution kezoblites
ably hathatosan
abnegation lemondas
abnormal abnormalis
abnormality rendellenesseg
aboard autobuszon
abode lakohely
abolition eltorles
abominable fortelmes
abominably fortelmesen
abomination undor
aboriginal eredeti
aborigines bennszulottek
abortion abortusz
abortive meddo
about koros-korul
about-face fordulat
above felett
aboveboard korrekt
aboveground felszini
abrader csiszoloanyag
abrasion kopas
abrasion-resistant kopasallo
abrasive csiszolo
abrasiveness ramenosseg
abreast parhuzamosan
abridgement jogkorlatozas
abridgment jogkorlatozas
abrupt hirtelen
abruptly hirtelen
abscess keles
absence hiany
absent hianyzo
absenteeism logas
absently elgondolkodva
absentminded szorakozott
absolute abszolut
absolutism abszolutizmus
absorbed elmelyedt
absorbedly elmelyedve
absorbing abszorbens
absorption abszorpcio
abstemious mertekletes
abstention tartozkodas
abstinence absztinencia
abstract elvont
abstracted elvonatkoztatott
abstractedly szorakozottan
abstraction absztrakcio
abstruse homalyos
absurd abszurd
absurdity abszurdum
abundance boseg
abundant boseges
abundantly bosegesen
abuse felrevezetes
abuser becsmerlo
abusive gyalazkodo
abysmal feneketlen
abyss szakadek
acacia akac
academic akademiai
academically akademikusan
academics alokoskodas
accelerator gazadagolo
accent akcentus
accentuated kidomboritott
accentuation hangsulyozas
acceptability elfogadhatosag
acceptable elfogadhato
acceptance atvetel
acceptant fogekony
access belepes
accessibility elerhetoseg
accessible elerheto
accession gyarapodas
accessories alkatreszek
accessory bunreszes
accident baleset
accidental akaratlan
accidentally esetlegesen
accident-ticket utasbiztositas
accidie lustasag
acclamation eljenzes
acclimatization akklimatizalas
accolade elismeres
accommodating alkalmazkodo
accommodatingly elozekenyen
accommodation alkalmazkodas
accommodations ellatas
accompaniment kiseret
accompanist zongorakisero
accompanying kisero
accomplice bunreszes
accomplished kesz
accomplishment befejezes
accord egyetertes
accordance egyetertes
accordingly eszerint
accordion harmonika
accordionist harmonikas
accordion-player harmonikas
account beszamolo
accountability felelosseg
accountable felelos
accountancy konyveles
accountant konyvelo
accounting konyveles
accounts konyveles
accoutrement cicoma
accoutrements cicoma
accreditation akkreditalas
accredited akkreditalt
accretion aradmany
accumulator akkumulator
accuracy hitelesseg
accurate pontos
accurately pontosan
accursed atkozott
accusation vad
accused terhelt
accuser vadlo
accusing vadolo
accusingly vadlon
accustomed megszokott
ace asz
acerbic csipos
acerbity csiposseg
aces csucs
acetyl acetil
acetylene acetilen
ache fajas
achievable megvalosithato
achievement eredmeny
aching fajdalmas
achingly fajdalmasan
acid fanyar
acidity savanyusag
acidly fanyarul
ack-ack legelharito
acknowledgement bevallas
acme tetopont
acorn makk
acoustic akusztikai
acoustical akusztikai
acoustics akusztika
acquaintance ismeretseg
acquiescence belenyugvas
acquiescent alkalmazkodo
acquired szerzett
acquisition akvizicio
acquisitive kapzsi
acquitment felmentes
acquittal felmentes
acquittance felmentes
acquitting felmentes
acreage-rent banyaber
acrid csipos
acridine akridin
acridity csiposseg
acrimonious csipos
acrimoniousness csiposseg
acrimony csiposseg
acrobat akrobata
acronym betuszo
across at
acrylic akril-
act cselekedet
acting aktiv
action akcio
action-packed esemenydus
activated aktiv
active aktiv
activist aktivista
activity aktivitas
actor szinesz
actress szineszno
actual tenyleges
actuality alkalomszeruseg
actually valojaban
actuating hajto
actuation elinditas
actuator inditokar
acuity eleselmejuseg
acumen eszesseg
acupuncture akupunktura
acupuncturist akupunkturista
acute agyafurt
acute-angled hegyesszogu
acutely agyafurtan
acuteness eleselmejuseg
ad hirdetes
adamant gyemantkemenysegu
adamantly hajthatatlanul
adaptability alkalmazhatosag
adaptable alkalmazhato
adaptation alkalmazkodas
adapter adapter
adaptive alkalmazkodo
adaptor adapter
adder osszeado
adder's-tongue gimnyelv
adder-fly szitakoto
adderwort kigyogyoker
addiction szenvedely
adding osszeadas
addition osszeadas
additional tovabbi
additionally azonfelul
additivity additivitas
addle ganajle
addle-brained tokfeju
addlepated tokfeju
address beszed
addressee cimzett
adenalgia mirigyfajdalom
adenectomy mirigyeltavolitas
adenioditis garatmandula-gyulladas
adenitis mirigygyulladas
adenofibroma mirigydaganat
adenoid adenoid
adenoids mirigytultenges
adenology mirigytan
adenoma mirigydaganat
adenopathy mirigybantalom
adept hozzaerto
adeptly hozzaertoen
adequacy alkalmassag
adequate adekvat
adequation egyenertek
adherence huseg
adhesive csiriz
adiabatic adiabatikus
adjacent hataros
adjectival melleknevi
adjective melleknev
adjoining szomszedos
adjournment elhalasztas
adjudication dontes
adjudicator biro
adjunct adjunktus
adjustment beallitas
ad-lib hevenyeszett
ad-libber improvizator
ad-libitum kotetlenul
administration adas
administrative adminisztrativ
administrator ugyintezo
admirable csodalatos
admiral admiralis
admiral-ship vezerhajo
admiration bamulas
admirer bamulo
admiring csodalo
admiringly csodalattal
admissibility megengedhetoseg
admissible alkalmazhato
admission bebocsatas
admittance admittancia
admittedly bevallottan
admixture adalek
admonishment figyelmeztetes
admonition dorgalas
admonitory figyelmezteto
ado felhajtas
adolescence kamaszkor
adolescent kamasz
adoption adoptalas
adoration imadat
adored imadott
adoringly hodolattal
adornment disz
adrenaline adrenalin
adrift hanyodva
adroit ugyes
adroitly ugyesen
adroitness ugyesseg
adult felnott
adulteration hamisitas
adulterous hazassagtoro
adultery hazassagtores
adulthood felnottkor
adumbral arnyas
adumbration arnyekolas
adumbrative bearnyekolo
advance eloleg
advanced halado
advancement elolepes
advantage elony
advantaged kiemelt
advantageous elonyos
advent eljovetel
adventure kaland
adventurous kalandos
adverbial hatarozoi
adversary ellenfel
adverse artalmas
adversity csapas
advert hirdetes
advertisement hirdetes
advertiser hirdeto
advertising ertesites
advice ertesites
advices ertesulesek
advisability ajanlatossag
advisable ajanlatos
advised bolcs
advisedly celtudatosan
advisedness helyesseg
advisement szaktanacs
adviser tanacsado
advisor tanacsado
advisory tanacsado
advocacy kepviselet
advocate kozbenjaro
aechinus parnatag
aeon eon
aeration levegoztetes
aerator lazitoszer
aerial antenna
aerie sasfeszek
aerodrome repter
aeronautic legi
aeronautical legi
aeronautics leghajozastan
aeroplane repulogep
aerosol aeroszol
aesthete eszteta
aesthetic esztetikai
afeard megremult
affable baratsagos
affably kedvesen
affair dolog
affection ragaszkodas
affectionate gyenged
affectionately szeretettel
affiliation belepes
affinity affinitas
affirmation allitas
affirmative allito
affix jarulek
affixing hozzafuzes
affixture hozzafuzes
afflicted lesujtott
affliction csapas
affluence boseg
affluent boseges
afforestation erdofelujitas
affray csetepate
affreightment hajorakomany
affront sertes
affronted megsertett
afghan afgan
Afghanistan Afganisztan
afield mezon
afire ego
aflame ego
afloat elterjedve
afoot folyamatban
afore elott
afoul osszebonyolodva
afresh elolrol
Africa Afrika
African afrikai
aft hatrafele
aft-bay gerendakoz
after azutan
after-bake utoegetes
afterburner utanego
afterburning utanegetes
after-burning utoeges
aftercare utogondozas
afterfiring utoeges
after-frame farborda
afterimage emlekkep
afterlife tulvilag
aftermath kovetkezmeny
afternoon delutan
afters desszert
aftershock utolokes
afterthought utogondolat
afterwards azutan
afterword epilogus
again egyebkent
against ellen
agaric galoca
age eletkor
ageing anyagkifaradas
ageless idotlen
agency hatoero
agenda lista
agent hatoanyag
age-old osregi
agglomerate agglomeralt
agglomeration agglomeralodas
agglomerative osszegyujto
aggravating bosszanto
aggravatingly bosszantoan
aggravation bosszantas
aggravative sulyosbito
aggregate adalekanyag
aggregation egyesules
aggression agresszio
aggressive agressziv
aggressively agressziven
aggressor agresszor
aggrievement jogsertes
aghast megdobbent
agile agilis
agility agilitas
agily furgen
aging avulas
agitated felkavart
agitatedly felkavartan
agitation agitacio
agitator agitator
aglow izzoan
ago elott
agog izgatott
agonized aggodalmas
agonizing gyotrelmes
agony agonia
agouty aguti
agrarian agrar-
agreeable kellemes
agreeably kellemesen
agreed megbeszelt
agreement egyezmeny
agriculture mezogazdasag
agriculturist agronomus
agronomist agronomus
aground zatonyon
ague malaria
ahead elol
a-hunt vadaszaton
aid segedero
aide seged
ailing beteg
ailment betegseg
aim cel
aimless celtalan
aimlessly celtalanul
aimlessness celtalansag
air arckifejezes
airborne lebego
aircraft repulogep
airfield repuloter
airily fesztelenul
airjetty utashid
airletter legiposta-boritek
airline legitarsasag
airlock legkamra
airman pilota
airplane repulogep
airport repter
air-raid legitamadas
airship leghajo
air-shutter fojtoszelep
airsickness legibetegseg
airspace hezag
airstrip felszallohely
airwaves radiohullamok
airy fesztelen
aisle folyoso
aisled oldalhajos
akin hasonlo
alabaster alabastrom
alacrity furgeseg
alarm aggodalom
alarming aggaszto
alarmism remhir
alas sajna
alas! fajdalom!
Albania Albania
Albanian alban
albatross albatrosz
albeit habar
albino albino
album album
alchemist alkimista
alchemy alkimia
alcohol alkohol
alcoholic alkoholista
alcoholism alkoholizmus
alcove alkov
alder eger
aldermanate tanacsnoksag
aldermanic tanacsnoki
aldermanity tanacsnoksag
aldermanry tanacstagsag
aldoform formaldehid
alert eber
alertness eberseg
alfalfa lucerna
algebra algebra
algebraic algebrai
algebraical algebrai
algebraically algebrailag
Algeria Algeria
Algerian algeriai
Algerine algiri
algorithm algoritmus
alias alnev
alibi alibi
alien idegen
alienable elidegenitheto
alienation elidegenites
alienist elmeorvos
alight ego
alignment behangolas
alike egyarant
alimony tartasdij
aliphatic alifas
alive elenk
alizarin 1,2-dioxi-antrakinon
alizarine alizarin
alkali alkali
alkalinity alkalitas
all csupa
allegation allitas
alleged allitolagos
allegedly allitolag
allegoric allegorikus
allegorical allegorikus
allegorically allegorikusan
allegory allegoria
allelopathic allelopatikus
allergic allergias
allergy allergia
alleviation csillapitas
alley fasor
alleyway koz
all-Hungarian orszagos
alliance szovetseg
alligator alligator
all-in atfogo
alliterative alliteralo
all-night ejszakai
allocation elhelyezes
allomeric allomer
allomerism allomeria
allomerous allomer
allotment elhelyezes
allotted kijelolt
all-out teljes
allowance arengedmeny
alloy otvozet
all-powerful mindenhato
allurement baj
alluring csabito
allusion celzas
allusive celzo
alluvial alluvialis
alluvion alluvium
alluvium alluvium
ally szovetseges
almanac almanach
almighty mindenhato
almond mandula
almost majdnem
aloft arbocon
aloha! viszontlatasra!
alone csak
aloneness egyedullet
along elore
alongside hosszaban
aloof tartozkodo
aloofness zarkozottsag
aloud fennhangon
alpine alpesi
already mar
alsatian farkaskutya
also is
also-run helyezetlenek
altar oltar
alteration atalakitas
altercation civakodas
altering atalakulo
alternate helyettes
alternative alternativ
alternatively vagylagosan
although bar
altimeter magassagmero
altimetry magassagmeres
altitude magassag
altitudinal magassagi
altruism onzetlenseg
altruist altruista
altruistic altruista
alum oregdiak
